timestamp,avg_ear,blink_detected,blink_rate,baseline_ear,baseline_blink_rate,ear_deviation,blink_rate_deviation
1767115283.2339048,0.2417,0,50.0,0.2334,38.0,0.0083,12.0
1767115283.2841349,0.2678,0,50.0,0.2334,38.0,0.0344,12.0
1767115283.3117185,0.2639,0,50.0,0.2334,38.0,0.0305,12.0
1767115283.346661,0.2412,0,50.0,0.2334,38.0,0.0078,12.0
1767115283.3806658,0.2411,0,50.0,0.2334,38.0,0.0077,12.0
1767115283.4100149,0.242,0,50.0,0.2334,38.0,0.0086,12.0
1767115283.4408095,0.2455,0,50.0,0.2334,38.0,0.0121,12.0
1767115283.4702594,0.1267,0,50.0,0.2334,38.0,-0.1067,12.0
1767115283.5042522,0.0824,0,50.0,0.2334,38.0,-0.151,12.0
1767115283.5356612,0.0998,0,50.0,0.2334,38.0,-0.1336,12.0
1767115283.5695195,0.2081,0,50.0,0.2334,38.0,-0.0253,12.0
1767115283.6202843,0.2185,1,51.0,0.2334,38.0,-0.0149,13.0
1767115283.652821,0.2434,0,51.0,0.2334,38.0,0.01,13.0
1767115283.6805809,0.2425,0,51.0,0.2334,38.0,0.0091,13.0
1767115283.7118902,0.2514,0,51.0,0.2334,38.0,0.018,13.0
1767115283.7454793,0.2591,0,51.0,0.2334,38.0,0.0257,13.0
1767115283.777546,0.2714,0,51.0,0.2334,38.0,0.038,13.0
1767115283.8101084,0.2633,0,51.0,0.2334,38.0,0.0299,13.0
1767115283.841586,0.2664,0,51.0,0.2334,38.0,0.033,13.0
1767115283.8741863,0.2757,0,51.0,0.2334,38.0,0.0423,13.0
1767115283.9063375,0.2664,0,51.0,0.2334,38.0,0.033,13.0
1767115283.96253,0.2728,0,51.0,0.2334,38.0,0.0394,13.0
1767115283.9872983,0.2626,0,51.0,0.2334,38.0,0.0292,13.0
1767115284.0160527,0.2575,0,51.0,0.2334,38.0,0.0241,13.0
1767115284.0502977,0.2674,0,51.0,0.2334,38.0,0.034,13.0
